subject_id,survey_id,image_url,data_description,galaxy_description,RA,DEC,redshift,n_class,p_smooth,p_featured,p_artifact,p_edgeon,p_notedgeon,p_spiral,p_notspiral,p_ring,p_lens,p_disturbed,p_irregular,p_other,p_merger,p_dustlane,p_clumpy,p_notclumpy
AHZ2000z3t,20118522,http://zoo-hst.s3.amazonaws.com/20118522.jpg,the COSMOS dataset in GZ: Hubble,featured,150.1235287,2.4242485,0.23,50,0.14300000667572021,0.8569999933242798,0.0,0.07037783782346614,0.5935640313290319,0.22496077268527065,0.36860325864376126,0.631005,0.061318003,0.0,0.0,0.020677,0.0,0.0,0.08227200007426738,0.7747279804797174
AHZ2000jb3,20064845,http://zoo-hst.s3.amazonaws.com/20064845.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.1226671,2.0529418,0.34,47,0.14799998328089714,0.8090000152587891,0.043,0.1035055198322115,0.5162880280245361,0.4646592129128167,0.051628803571782726,0.022200001,0.022200001,0.022200001,0.0,0.088800006,0.022200001,0.044400003,0.042877000302404156,0.7661230360527043
AHZ2001ray,20127201,http://zoo-hst.s3.amazonaws.com/20127201.jpg,the COSMOS dataset in GZ: Hubble,smooth,149.8348259,2.317868,0.38,31,0.8669999986886978,0.032999999821186066,0.1,0.0,0.0,0.0,0.0,0.036963,0.0,0.0,0.0,0.036963,0.0,0.036963,0.032999999821186066,0.0
AHZ2000ql6,20090615,http://zoo-hst.s3.amazonaws.com/20090615.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,150.0994553,2.2902638,0.36,44,0.20499998331069946,0.7950000166893005,0.0,0.5776708582811232,0.0,0.0,0.0,0.0466,0.0,0.0466,0.0,0.0932,0.0466,0.0,0.06837000375717883,0.7266299951624866
AHZ2000lna,20073499,http://zoo-hst.s3.amazonaws.com/20073499.jpg,the COSMOS dataset in GZ: Hubble,spiral,149.6692186,2.0740429,0.34,52,0.15599999949336052,0.8240000009536743,0.02,0.01615962945052777,0.630225554590514,0.48464344757341077,0.14558210701710325,0.13987999,0.019759998,0.0598,0.09984,0.16015999,0.040039998,0.0,0.03955200038957596,0.7844480189819336
AHZ20012sw,20131092,http://zoo-hst.s3.amazonaws.com/20131092.jpg,the COSMOS dataset in GZ: Hubble,featured,149.7085764,2.3348475,0.17,45,0.17599999904632568,0.8240000009536743,0.0,0.4089947807912335,0.2496119601589313,0.18321518554103827,0.06639678205690915,0.0988,0.0,0.0247,0.0,0.07695,0.151525,0.1235,0.024719999476075172,0.7992800244998932
AHZ2000ta2,20099135,http://zoo-hst.s3.amazonaws.com/20099135.jpg,the COSMOS dataset in GZ: Hubble,featured,149.757876,2.1765332,0.36,47,0.21800000965595245,0.7599999904632568,0.022,0.04950031910972833,0.4455028535472494,0.1657270654495746,0.2797758013746945,0.48755997,0.0,0.0,0.0,0.02244,0.0,0.0,0.10868000370979303,0.6513199867534638
AHZ100063i,13057583,http://zoo-hst.s3.amazonaws.com/13057583.jpg,the AEGIS dataset in GZ: Hubble,featured,215.398018,53.1927086,0.14,120,0.1679999977350235,0.8100000023841858,0.022,0.4797062133304767,0.14818150162852498,0.06356986275013907,0.08461163446223302,0.026244001,0.008748,0.008748,0.0,0.027702,0.017496,0.396576,0.03483000128537417,0.7751700161862374
AHZ2001f8y,20171799,http://zoo-hst.s3.amazonaws.com/20171799.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.2521138,2.7670158,0.17,46,0.09000000543892384,0.8799999952316284,0.03,0.04002718705050313,0.6747439935427492,0.6747439935427492,0.0,0.0464,0.0232,0.0,0.0232,0.0232,0.0,0.0,0.06775999926567078,0.812239976296425
AHZ2000i1z,20060691,http://zoo-hst.s3.amazonaws.com/20060691.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.2774193,2.0841789,0.28,47,0.18199998326599598,0.7950000166893005,0.023,0.0,0.5416454435221196,0.4696065907522708,0.07203884469870277,0.19076201,0.047762003,0.0,0.0,0.047762003,0.0,0.0,0.11368500769376766,0.6813150089955329
AHZ20012mt,20130406,http://zoo-hst.s3.amazonaws.com/20130406.jpg,the COSMOS dataset in GZ: Hubble,featured,149.6061139,2.3871964,0.11,43,0.1420000083744526,0.8339999914169312,0.024,0.01953329889184007,0.5723848569632419,0.29592298224030517,0.2764618917813348,0.702185,0.0,0.0,0.0,0.048814997,0.0,0.0,0.12426600200200077,0.7097340018424987
AHZ200058i,20016769,http://zoo-hst.s3.amazonaws.com/20016769.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,149.9392937,1.7574833,0.12,44,0.026000022888183594,0.9739999771118164,0.0,0.9116776171279691,0.0,0.0,0.0,0.025901001,0.0,0.0,0.0,0.075947,0.0,0.337152,0.037985999891102296,0.9360140026197428
AHZ2000jw3,20067007,http://zoo-hst.s3.amazonaws.com/20067007.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,150.0097662,2.0955342,0.09,52,0.16800001077353954,0.8109999895095825,0.021,0.6406202223729063,0.0,0.0,0.0,0.021978,0.021571,0.0,0.0,0.042735,0.0,0.320716,0.021086000162303442,0.7899139712200167
AHZ2001tfd,200996082,http://zoo-hst.s3.amazonaws.com/200996082.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,149.7317645,2.1243672,unknown,25,0.19199997978284955,0.8040000200271606,0.004,0.6082774764401321,0.0381385461311932,0.0,0.0381385461311932,0.0030599998,0.0,0.0,0.0,0.0,0.047939997,0.0,0.0,0.8040000200271606
AHZ2001t6z,200996081,http://zoo-hst.s3.amazonaws.com/200996081.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,149.7317645,2.1243672,unknown,34,0.23300000140443444,0.7639999985694885,0.003,0.5329144387678185,0.050781550348611836,0.0,0.050781550348611836,0.034443,0.066483,0.0,0.033108,0.033108,0.099590994,0.0,0.0,0.7639999985694885
AHZ20007j0,20024437,http://zoo-hst.s3.amazonaws.com/20024437.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,149.5799729,1.651376,0.28,49,0.21799997054040432,0.7570000290870667,0.025,0.5181371976326171,0.018236713564149416,0.0,0.018236713564149416,0.049742002,0.049742002,0.0,0.0,0.099484004,0.0,0.124355,0.048448004162728875,0.708552019284248
AHZ2000fif,20052387,http://zoo-hst.s3.amazonaws.com/20052387.jpg,the COSMOS dataset in GZ: Hubble,featured,150.7438107,2.0319458,0.32,48,0.21099997498095036,0.7620000243186951,0.027,0.23202535405350375,0.2905542654583863,0.19379969381382003,0.09675457164456627,0.059987,0.0,0.0,0.0,0.104372,0.0,0.104372,0.07620000356733803,0.6858000037193293
AHZ2001ju5,20187338,http://zoo-hst.s3.amazonaws.com/20187338.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,149.5843917,2.6252467,0.30,40,0.2160000205039978,0.7839999794960022,0.0,0.5723823932265785,0.02137527547148824,0.0,0.02137527547148824,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.026656000751495323,0.757343996268272
AHZ2001h9f,20178644,http://zoo-hst.s3.amazonaws.com/20178644.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.0337896,2.7651605,0.25,44,0.02600000996608287,0.9729999899864197,0.001,0.04893452789233446,0.8248963068662046,0.8248963068662046,0.0,0.025872,0.0,0.0,0.0,0.074976,0.074976,0.0,0.07492099882298708,0.898078969415188
AHZ20015yc,20141906,http://zoo-hst.s3.amazonaws.com/20141906.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.4038817,2.508879,0.12,55,0.0,0.9800000004470348,0.02,0.0737971355589969,0.7944044695263995,0.7761331652120861,0.018271302834619838,0.057600003,0.0,0.0192,0.0,0.0192,0.0,0.0,0.09408000086069107,0.8859199849832058
AHZ20015x7,20141854,http://zoo-hst.s3.amazonaws.com/20141854.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.3969913,2.5173082,0.22,47,0.11099999397993088,0.8420000076293945,0.047,0.020769100259747413,0.6492018743314307,0.6492018743314307,0.0,0.043615002,0.0014300001,0.024453001,0.0,0.024453001,0.024453001,0.024453001,0.04631000016868114,0.7956900011873245
AHZ2001p9l,20031605,http://zoo-hst.s3.amazonaws.com/20031605.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.5575413,1.8451116,0.12,29,0.08299999684095383,0.8330000042915344,0.084,0.0,0.5946628744950809,0.5286552945754549,0.06600757991962605,0.176832,0.043287,0.0,0.0,0.086881004,0.0,0.0,0.11911900617456439,0.71388099811697
AHZ2001leb,20193283,http://zoo-hst.s3.amazonaws.com/20193283.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.3935928,2.8716212,0.19,43,0.025000011548399925,0.949999988079071,0.025,0.023930690812861834,0.8307368150210447,0.8307368150210447,0.0,0.025641,0.0,0.025641,0.0,0.025641,0.0,0.0,0.05034999877363444,0.8996500140786168
AHZ2000adm,20033478,http://zoo-hst.s3.amazonaws.com/20033478.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.3315748,1.9211948,0.10,45,0.09200000762939453,0.9079999923706055,0.0,0.17890867899815951,0.6455552948613893,0.582936429412886,0.06261886544850327,0.06897099,0.0,0.0,0.0,0.137529,0.06897099,0.137529,0.0,0.9079999923706055
AHZ2001rec,20131872,http://zoo-hst.s3.amazonaws.com/20131872.jpg,the COSMOS dataset in GZ: Hubble,spiral,149.7281041,2.3580597,unknown,32,0.17599997110664845,0.8080000281333923,0.016,0.028626783270166736,0.4825657631555268,0.4825657631555268,0.0,0.035370003,0.071526,0.035370003,0.0,0.106896006,0.32147402,0.214578,0.17533600022935847,0.6326640158638952
AHZ20002ao,20007194,http://zoo-hst.s3.amazonaws.com/20007194.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,150.5433295,1.7439562,0.30,46,0.18800002336502075,0.8119999766349792,0.0,0.6026403646552749,0.05670358266244596,0.0,0.05670358266244596,0.046287,0.0,0.023213,0.0,0.023213,0.0,0.046287,0.0,0.8119999766349792
AHZ200115q,20125443,http://zoo-hst.s3.amazonaws.com/20125443.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,149.8529118,2.4022955,0.73,44,0.21199998655356467,0.7860000133514404,0.002,0.5986443331434743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.024366000015676015,0.7616339986953733
AHZ2000alr,20034347,http://zoo-hst.s3.amazonaws.com/20034347.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.2656206,1.9259004,0.17,48,0.08999998867511749,0.8880000114440918,0.022,0.0,0.5133421752797247,0.4938351789833914,0.01950700203337919,0.046081,0.067873,0.090573,0.0,0.0227,0.0,0.0,0.30991201013374337,0.578088027774811
AHZ2001oks,20001214,http://zoo-hst.s3.amazonaws.com/20001214.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.3390089,1.6154021,0.62,30,0.11500001698732376,0.8069999814033508,0.078,0.030931070291753977,0.49332434739225894,0.49332434739225894,0.0,0.082806,0.082806,0.0,0.0,0.041403,0.165612,0.0,0.15736499060153974,0.6496349908018111
AHZ2001s4a,20163522,http://zoo-hst.s3.amazonaws.com/20163522.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,150.7476025,2.6760585,0.17,32,0.0820000097155571,0.8849999904632568,0.033,0.5215119400375782,0.11603321393859309,0.11603321393859309,0.0,0.0,0.033604,0.06775,0.101895995,0.06775,0.20324999,0.06775,0.16461000212967392,0.7203900015211104
